Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150525-0000_27_27_067_00,obs_wrf-s3cn_arw_20150525-0000_27_27_067,2015-05-26 03:00:00,27.00000,3.00000,1.00000,-92.09951,35.56112,9.47194,31.74707,1.35059,5.56182,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_28_34_068_00,obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 04:00:00,28.00000,4.00000,1.00000,-97.28457,28.84473,19.57302,55.74512,0.00000,14.25423,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_28_34_068_01,obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 05:00:00,29.00000,5.00000,2.00000,-96.81971,28.90364,19.82855,44.47070,5.82910,8.91165,0.25553,-11.27441
obs_wrf-s3cn_arw_20150525-0000_28_34_068_02,obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 06:00:00,30.00000,6.00000,3.00000,-96.38736,28.96613,18.78905,36.09766,3.30664,5.11154,-1.03950,-8.37305
obs_wrf-s3cn_arw_20150525-0000_28_34_068_03,obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 07:00:00,31.00000,7.00000,4.00000,-95.91447,29.20891,15.35958,28.39453,7.27930,4.10734,-3.42947,-7.70312
obs_wrf-s3cn_arw_20150525-0000_28_34_068_04,obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 08:00:00,32.00000,8.00000,5.00000,-95.93193,29.41733,14.83513,28.89551,2.56543,6.70967,-0.52445,0.50098
obs_wrf-s3cn_arw_20150525-0000_28_34_068_05,obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 09:00:00,33.00000,9.00000,6.00000,-95.56922,29.47851,23.77382,59.52734,3.19434,11.47756,8.93869,30.63184
obs_wrf-s3cn_arw_20150525-0000_28_34_068_06,obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 10:00:00,34.00000,10.00000,7.00000,-95.13140,29.61633,14.07719,42.93262,0.00684,9.30468,-9.69663,-16.59473
obs_wrf-s3cn_arw_20150525-0000_28_28_069_00,obs_wrf-s3cn_arw_20150525-0000_28_28_069,2015-05-26 04:00:00,28.00000,4.00000,1.00000,-94.22429,30.21361,9.38770,26.99316,0.00000,5.53295,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_29_29_070_00,obs_wrf-s3cn_arw_20150525-0000_29_29_070,2015-05-26 05:00:00,29.00000,5.00000,1.00000,-95.82880,29.52200,8.89589,15.86328,3.94922,2.59141,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_29_29_071_00,obs_wrf-s3cn_arw_20150525-0000_29_29_071,2015-05-26 05:00:00,29.00000,5.00000,1.00000,-94.04619,29.83407,8.95180,22.61621,2.31543,5.05189,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_30_30_072_00,obs_wrf-s3cn_arw_20150525-0000_30_30_072,2015-05-26 06:00:00,30.00000,6.00000,1.00000,-91.52988,31.68941,8.61483,27.64453,0.65137,5.18337,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_32_32_073_00,obs_wrf-s3cn_arw_20150525-0000_32_32_073,2015-05-26 08:00:00,32.00000,8.00000,1.00000,-95.43900,29.28473,9.12142,18.64551,3.04785,3.83392,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_35_35_074_00,obs_wrf-s3cn_arw_20150525-0000_35_35_074,2015-05-26 11:00:00,35.00000,11.00000,1.00000,-90.88114,28.38340,12.07065,24.23633,5.30957,5.12420,0.00000,0.00000
